left_sensor,med_sensor,right_sensor,sampling_time,left_motor,right_motor
1,1,1,0.000388145446777,1.694,1.936
1,1,1,0.000661611557007,1.694,1.936
1,1,1,0.000638961791992,1.694,1.936
1,0,0,0.000295162200928,1.694,1.936
1,1,1,0.000325441360474,1.694,1.936
1,1,1,0.000322580337524,1.694,1.936
1,1,1,0.000309944152832,1.694,1.936
1,1,1,0.000323295593262,1.694,1.936
1,1,1,0.000820159912109,1.694,1.936
1,1,1,0.000303983688354,1.694,1.936
1,1,1,0.000330209732056,1.694,1.936
1,1,1,0.000323057174683,1.694,1.936
1,1,1,0.000298500061035,1.694,1.936
1,1,1,0.000323534011841,1.694,1.936
1,1,1,0.000646829605103,1.694,1.936
1,1,1,0.00029993057251,1.694,1.936
1,1,1,0.000305414199829,1.694,1.936
1,1,1,0.000324964523315,1.694,1.936
1,1,1,0.00032114982605,1.694,1.936
1,1,1,0.000328540802002,1.694,1.936
1,1,1,0.000638484954834,1.694,1.936
1,1,1,0.000325679779053,1.694,1.936
1,0,1,0.000468492507935,1.782,1.782
1,0,1,0.000449895858765,1.782,1.782
1,0,1,0.000478267669678,1.782,1.782
1,1,0,0.000475883483887,1.694,1.936
1,1,0,0.000980377197266,1.694,1.936
1,0,0,0.000297784805298,1.694,1.936
1,0,1,0.000470638275146,1.782,1.782
1,0,1,0.000465154647827,1.782,1.782
0,0,1,0.000319719314575,1.782,1.782
0,1,1,0.00044584274292,1.936,1.694
0,1,1,0.000977277755737,1.936,1.694
1,0,0,0.000304460525513,1.936,1.694
1,1,1,0.000311374664307,1.936,1.694
1,1,1,0.000325202941895,1.936,1.694
1,1,1,0.000325202941895,1.936,1.694
1,1,1,0.000313758850098,1.936,1.694
1,1,1,0.000638484954834,1.936,1.694
1,1,1,0.000303030014038,1.936,1.694
1,1,1,0.000325202941895,1.936,1.694
1,1,1,0.000322103500366,1.936,1.694
1,1,1,0.000324487686157,1.936,1.694
1,1,1,0.000320434570313,1.936,1.694
1,1,1,0.000647306442261,1.936,1.694
1,1,1,0.000324964523315,1.936,1.694
1,1,1,0.000314235687256,1.936,1.694
1,1,1,0.000325441360474,1.936,1.694
1,1,1,0.000324487686157,1.936,1.694
1,1,1,0.000302791595459,1.936,1.694
1,1,0,0.000956296920776,1.694,1.936
1,1,1,0.00032114982605,1.694,1.936
1,1,1,0.000294208526611,1.694,1.936
1,1,0,0.000467777252197,1.694,1.936
1,1,0,0.000467777252197,1.694,1.936
1,0,0,0.000296115875244,1.694,1.936
1,0,1,0.000978708267212,1.782,1.782
0,1,1,0.00045108795166,1.936,1.694
0,1,1,0.000447273254395,1.936,1.694
0,1,1,0.000463724136353,1.936,1.694
0,1,1,0.000470638275146,1.936,1.694
0,1,1,0.00044322013855,1.936,1.694
